[DHCP IP: (192.168.1.5)] to MAC address A8:10:87:4F:0B:56, Friday, November 27,2020 20:48:18       
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Friday, November 27,2020 20:37:52       
[DoS attack: RST Scan] from source: 157.240.2.20:443, Friday, November 27,2020 20:19:33       
[DHCP IP: (192.168.1.15)] to MAC address C0:D2:F3:7E:03:F0, Friday, November 27,2020 19:59:56       
[DHCP IP: (192.168.1.21)] to MAC address 52:A5:93:9D:99:D5, Friday, November 27,2020 19:56:07       
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Friday, November 27,2020 19:43:48       
[DoS attack: RST Scan] from source: 172.217.4.197:443, Friday, November 27,2020 19:21:41       
[DoS attack: TCP Port Scan] from source: 45.227.255.60:65532, Friday, November 27,2020 19:17:38       
[DHCP IP: (192.168.1.12)] to MAC address CC:46:4E:CB:54:8C, Friday, November 27,2020 18:52:19       
[DHCP IP: (192.168.1.3)] to MAC address F8:36:9B:81:2E:F3, Friday, November 27,2020 18:47:23       
[DoS attack: RST Scan] from source: 67.195.205.49:993, Friday, November 27,2020 18:46:27       
[DoS attack: RST Scan] from source: 17.253.144.10:443, Friday,¼G@ November 27,2020 17:50:29       
[DoS attack: RST Scan] from source: 23.192.100.25:443, Friday, November 27,2020 17:48:31       
[DoS attack: TCP Port Scan] from source: 80.82.70.185:46008, Friday, November 27,2020 17:14:13       
[DoS attack: RST Scan] from source: 98.137.159.41:993, Friday, November 27,2020 17:10:46       
[DoS attack: RST Scan] from source: 157.240.2.20:443, Friday, November 27,2020 16:55:12       
[DHCP IP: (192.168.1.4)] to MAC address F0:81:73:DA:3F:2F, Friday, November 27,2020 16:41:20       
[DHCP IP: (192.168.1.22)] to MAC address 22:4C:A9:A5:88:6A, Friday, November 27,2020 16:10:05       
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Friday, November 27,2020 16:07:52       
[DoS attack: RST Scan] from source: 184.24.64.103:443, Friday, November 27,2020 15:41:25       
[DoS attack: RST Scan] from source: 184.24.64.103:443, Friday, November 27,2020 15:38:56       
[DHCP IP: (192.168.1.30)] to MAC address 1E:DC:DC:43:96:2B, Friday, November 27,2020 14:54:33       
[DHCP IP: (192.168.1.29)] to MAC address A6:E5:CA:F8:7A:DE, Friday, November 27,2020 14:48:04       
[DHCP IP: (192.168.1.10)] to MAC address F8:36:9B:83:36:A2, Friday, November 27,2020 14:31:35       
[DHCP IP: (192.168.1.29)] to MAC address A6:E5:CA:F8:7A:DE, Friday, November 27,2020 14:31:05       
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Friday, November 27,2020 14:30:38       
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Friday, November 27,2020 14:30:37       
[DHCP IP: (192.168.1.24)] to MAC address A6:DC:5B:42:7A:9D, Friday, November 27,2020 14:22:44       
[DHCP IP: (192.168.1.26)] to MAC address 1A:B9:BB:0F:2D:1A, Friday, November 27,2020 14:21:18       
[DoS attack: RST Scan] from source: 104.91.200.163:443, Friday, November 27,2020 13:36:46       
[DHCP IP: (192.168.1.29)] to MAC address A6:E5:CA:F8:7A:DE, Friday, November 27,2020 13:36:22       
[DHCP IP: (192.168.1.26)] to MAC address 1A:B9:BB:0F:2D:1A, Friday, November 27,2020 13:36:17       
[DHCP IP: (192.168.1.30)] to MAC address 1E:DC:DC:43:96:2B, Friday, November 27,2020 13:33:02       
[DHCP IP: (192.168.1.31)] to MAC address 1E:F7:27:D1:51:CF, Friday, November 27,2020 13:27:45       
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Friday, November 27,2020 13:24:32       
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Friday, November 27,2020 13:24:30       
[DHCP IP: (192.168.1.24)] to MAC address A6:DC:5B:42:7A:9D, Friday, November 27,2020 13:24:27       
[DHCP IP: (192.168.1.24)] to MAC address A6:DC:5B:42:7A:9D, Friday, November 27,2020 13:24:26       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 12:47:35       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 12:46:04       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 12:44:40       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 12:41:51       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 12:36:14       
[Time synchronized with NTP server time-b.netgear.com] Friday, November 27,2020 12:30:28       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Friday, November 27,2020 12:24:57       
